mmsi,lat,lon,speed,course,timestamp
0,50.374463,-4.141342,0.0,360.0,
0,50.374463,-4.141343,0.0,360.0,
235106587,50.348217,-4.131238,2.5,187.2,
235116983,50.363945,-4.156312,0.0,330.4,
0,50.374462,-4.141345,0.0,360.0,
235116983,50.363945,-4.156312,0.0,330.4,
0,50.374462,-4.141345,0.0,360.0,
235116983,50.363945,-4.156312,0.0,330.4,
0,50.374462,-4.141345,0.0,360.0,
0,50.374462,-4.141345,0.0,360.0,
0,50.374462,-4.141345,0.0,360.0,
0,50.374462,-4.141345,0.0,360.0,
0,50.374462,-4.141347,0.0,360.0,
0,50.374462,-4.141347,0.0,360.0,
0,50.374462,-4.141347,0.0,360.0,
0,50.374462,-4.141347,0.0,360.0,
232002651,50.33273,-4.179922,8.7,286.1,
0,50.374462,-4.141347,0.0,360.0,
235109107,50.36593,-4.131963,0.0,284.1,
0,50.37446,-4.141348,0.0,360.0,
232026018,50.367533,-4.130902,0.0,161.2,
232056337,50.359443,-4.117657,0.0,360.0,
232002652,50.359317,-4.149883,9.1,285.5,
232002651,50.33366,-4.180228,2.7,11.0,
235109107,50.36594,-4.131983,0.0,284.1,
235066588,50.337047,-4.148837,0.0,206.9,
235109107,50.365938,-4.131985,0.0,284.2,
235109107,50.365938,-4.131985,0.0,284.2,
235109107,50.365938,-4.131985,0.0,284.2,
235109107,50.365938,-4.131985,0.0,284.2,
235109107,50.365938,-4.131985,0.0,284.2,
232056337,50.359463,-4.11767,0.0,360.0,
0,50.374488,-4.141452,0.0,360.0,
0,50.374488,-4.141452,0.0,360.0,
0,50.374488,-4.141452,0.0,360.0,
0,50.37449,-4.141457,0.0,360.0,
0,50.37449,-4.141457,0.0,360.0,
0,50.374488,-4.141452,0.0,360.0,
235110955,50.364877,-4.13179,0.0,0.0,
235116983,50.363943,-4.156312,0.1,338.2,
235116983,50.363943,-4.156312,0.1,338.2,
235066588,50.337043,-4.148822,0.1,195.9,
235106587,50.347498,-4.131353,2.5,185.3,
235066588,50.337043,-4.148822,0.2,196.0,
235106587,50.347498,-4.131353,2.5,185.3,
235106587,50.347498,-4.131353,2.5,185.3,
0,50.374495,-4.141465,0.0,360.0,
0,50.374495,-4.141465,0.0,360.0,
0,50.374495,-4.141465,0.0,360.0,
0,50.3745,-4.141473,0.0,360.0,
0,50.3745,-4.141473,0.0,360.0,
0,50.3745,-4.141473,0.0,360.0,
235061062,50.352377,-4.161867,11.3,303.0,
235061062,50.352377,-4.161867,11.3,303.0,
235061062,50.352377,-4.161867,11.3,303.0,
232002651,50.333773,-4.18023,2.6,1.8,
0,50.374507,-4.14148,0.0,360.0,
0,50.374507,-4.14148,0.0,360.0,
235097338,50.364915,-4.13085,0.1,134.8,
235097338,50.364915,-4.13085,0.1,134.8,
0,50.374507,-4.14148,0.0,360.0,
0,50.374507,-4.14148,0.0,360.0,
235029693,50.369577,-4.132117,0.0,103.4,
235061062,50.352478,-4.162128,11.0,301.0,
235116983,50.363947,-4.156312,0.0,281.9,
235061062,50.3526,-4.162435,11.0,300.0,
235060787,50.358847,-4.120373,0.1,360.0,
235063624,50.364727,-4.16664,0.0,360.0,
235063624,50.364727,-4.16664,0.0,360.0,
235063624,50.364727,-4.16664,0.0,360.0,
235060787,50.358847,-4.120373,0.1,360.0,
235063624,50.364727,-4.16664,0.0,360.0,
0,50.374517,-4.141493,0.0,360.0,
0,50.374517,-4.141493,0.0,360.0,
0,50.374517,-4.141493,0.0,360.0,
0,50.374518,-4.141493,0.0,360.0,
0,50.37452,-4.141493,0.0,360.0,
0,50.374518,-4.141493,0.0,360.0,
0,50.374518,-4.141493,0.0,360.0,
235061062,50.352648,-4.162548,11.0,301.0,
0,50.37452,-4.141493,0.0,360.0,
235061062,50.352648,-4.162548,11.0,301.0,
235111155,50.366887,-4.155997,0.1,197.0,
235061062,50.352703,-4.162682,11.0,302.0,
232002651,50.33388,-4.180252,2.4,355.4,
235111155,50.366887,-4.155997,0.1,197.0,
232002651,50.33388,-4.180252,2.4,355.4,
235111155,50.366887,-4.155997,0.1,197.0,
232002651,50.33388,-4.180252,2.4,355.4,
232002652,50.359863,-4.154282,8.3,259.4,
0,50.374522,-4.141492,0.0,360.0,
0,50.374523,-4.14149,0.0,360.0,
0,50.374525,-4.14149,0.0,360.0,
0,50.374525,-4.14149,0.0,360.0,
0,50.374525,-4.14149,0.0,360.0,
232056337,50.359467,-4.117692,0.0,360.0,
0,50.374525,-4.14149,0.0,360.0,
232056337,50.359467,-4.117692,0.0,360.0,
235061062,50.352817,-4.16293,10.8,302.9,
235116983,50.363945,-4.156312,0.1,4.6,
0,50.374528,-4.14149,0.0,360.0,
235066588,50.336997,-4.148905,0.5,193.9,
0,50.374542,-4.141472,0.0,360.0,
0,50.374543,-4.14147,0.0,360.0,
235111321,50.358645,-4.123795,0.1,360.0,
235066588,50.336993,-4.148935,0.5,195.9,
0,50.374543,-4.14147,0.0,360.0,
235111321,50.358645,-4.123795,0.1,360.0,
0,50.374543,-4.14147,0.0,360.0,
0,50.374543,-4.14147,0.0,360.0,
235111321,50.358645,-4.123795,0.1,360.0,
235111321,50.358645,-4.123795,0.1,360.0,
0,50.374545,-4.141468,0.0,360.0,
0,50.374545,-4.141468,0.0,360.0,
0,50.374545,-4.141468,0.0,360.0,
235004281,50.358857,-4.122332,0.1,360.0,
0,50.37455,-4.141455,0.0,360.0,
0,50.37455,-4.141455,0.0,360.0,
0,50.37455,-4.141455,0.0,360.0,
0,50.37455,-4.141455,0.0,360.0,
235116983,50.363947,-4.156312,0.0,108.0,
