mmsi,lat,lon,speed,course,timestamp,speed_diff,course_diff,anomaly
232056337,50.359467,-4.117692,0.0,360.0,,0.0,0.0,1
235061062,50.352817,-4.16293,10.8,302.9,,-0.1999999999999993,0.8999999999999773,1
235116983,50.363945,-4.156312,0.1,4.6,,0.1,-277.29999999999995,1
235066588,50.336997,-4.148905,0.5,193.9,,0.3,-2.0999999999999943,1
235111321,50.358645,-4.123795,0.1,360.0,,0.0,0.0,1
235066588,50.336993,-4.148935,0.5,195.9,,0.0,2.0,1
235111321,50.358645,-4.123795,0.1,360.0,,0.0,0.0,1
235111321,50.358645,-4.123795,0.1,360.0,,0.0,0.0,1
235111321,50.358645,-4.123795,0.1,360.0,,0.0,0.0,1
235004281,50.358857,-4.122332,0.1,360.0,,0.0,0.0,1
235116983,50.363947,-4.156312,0.0,108.0,,-0.1,103.4,1
235106587,50.346997,-4.13143,2.7,185.0,,0.20000000000000018,-0.30000000000001137,1
235061062,50.353478,-4.164282,10.6,309.0,,-0.20000000000000107,6.100000000000023,1
235061062,50.353478,-4.164282,10.6,309.0,,0.0,0.0,1
235061062,50.353478,-4.164282,10.6,309.0,,0.0,0.0,1
235066588,50.336977,-4.148923,0.2,114.9,,-0.3,-81.0,1
232002652,50.359017,-4.157017,8.4,237.6,,0.09999999999999964,-21.799999999999983,1
232002652,50.359017,-4.157017,8.4,237.6,,0.0,0.0,1
232002652,50.359017,-4.157017,8.4,237.6,,0.0,0.0,1
235102126,50.360185,-4.120433,0.1,360.0,,0.1,0.0,1
232002652,50.359017,-4.157017,8.4,237.6,,0.0,0.0,1
235102126,50.360185,-4.120433,0.1,360.0,,0.0,0.0,1
232056337,50.359457,-4.117692,0.0,360.0,,0.0,0.0,1
235106587,50.346647,-4.131487,2.5,183.7,,-0.20000000000000018,-1.3000000000000114,1
235003658,50.354113,-4.197167,0.0,360.0,,0.0,0.0,1
235109107,50.365923,-4.13198,0.0,284.1,,0.0,-0.0999999999999659,1
